Date;Entraînement;Exercise;Equipement;Exécution;Type de Set;Reps;Charge;Durée;Distance;csv.headers.steps;RPE;Calories Brûlées;Durée de l'Entraînement
2026-01-02 11:37:07;Legs;Flexion jambes parallèles;Barre;Bilatéral;Normale;12;120;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Flexion jambes parallèles;Barre;Bilatéral;Normale;12;120;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Flexion jambes parallèles;Barre;Bilatéral;Normale;12;120;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Flexion jambes parallèles;Barre;Bilatéral;Normale;10;120;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Extension de mollet assis;Machine guidée à poulie;Bilatéral;Normale;15;20;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Extension de mollet assis;Machine guidée à poulie;Bilatéral;Normale;15;20;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Extension de mollet assis;Machine guidée à poulie;Bilatéral;Normale;15;20;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Extension de mollet assis;Machine guidée à poulie;Bilatéral;Normale;15;20;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Extension de mollet assis;Machine guidée à poulie;Bilatéral;Normale;18;20;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Curl biceps supination;Barre;Bilatéral;Normale;15;30;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Curl biceps supination;Barre;Bilatéral;Normale;15;30;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Curl biceps supination;Barre;Bilatéral;Normale;15;30;0;0;0;0;228;01:19:49
2026-01-02 11:37:07;Legs;Curl biceps supination;Barre;Bilatéral;Normale;15;30;0;0;0;0;228;01:19:49
2026-01-03 10:20:27;Pull;Tirage vertical prise large;Poulie vis-à-vis;Bilatéral;Normale;11;86;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage vertical prise large;Poulie vis-à-vis;Bilatéral;Normale;9;86;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage vertical prise large;Poulie vis-à-vis;Bilatéral;Normale;9;86;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage vertical prise serrée;Poulie vis-à-vis;Bilatéral;Normale;12;73;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage vertical prise serrée;Poulie vis-à-vis;Bilatéral;Normale;12;73;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage horizontal assis prise serrée;Poulie vis-à-vis;Bilatéral;Normale;10;73;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage horizontal assis prise serrée;Poulie vis-à-vis;Bilatéral;Normale;12;66;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage horizontal assis prise serrée;Poulie vis-à-vis;Bilatéral;Normale;9;66;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Tirage horizontal assis prise serrée;Poulie vis-à-vis;Bilatéral;Normale;12;66;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Curl biceps supination;Barre;Bilatéral;Normale;12;30;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Curl biceps supination;Barre;Bilatéral;Normale;13;30;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Curl biceps supination;Barre;Bilatéral;Normale;13;30;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Curl marteau;Poulie vis-à-vis;Bilatéral;Normale;12;20.5;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Curl marteau;Poulie vis-à-vis;Bilatéral;Normale;12;20.5;0;0;0;0;276;01:18:47
2026-01-03 10:20:27;Pull;Curl marteau;Poulie vis-à-vis;Bilatéral;Normale;12;20.5;0;0;0;0;276;01:18:47
2026-01-04 16:16:27;Nouvel Entraînement;Flexion de jambes assis;Machine guidée à poulie;Bilatéral;Normale;10;73;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Flexion de jambes assis;Machine guidée à poulie;Bilatéral;Normale;10;73;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Flexion de jambes assis;Machine guidée à poulie;Bilatéral;Échec;7;66;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Développé incliné;Barre;Bilatéral;Normale;8;80;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Développé incliné;Barre;Bilatéral;Normale;8;80;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Développé incliné;Barre;Bilatéral;Normale;8;80;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Développé incliné;Barre;Bilatéral;Normale;8;80;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Développé couché;Machine guidée à levier;Bilatéral;Normale;10;80;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Développé couché;Machine guidée à levier;Bilatéral;Normale;10;80;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Développé couché;Machine guidée à levier;Bilatéral;Normale;9;80;0;0;0;0;242;01:16:52
2026-01-04 16:16:27;Nouvel Entraînement;Tirage horizontal prise large;Barre;Bilatéral;Normale;14;60;0;0;0;0;242;01:16:52
