Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2025-09-24,Periostites Mur,Legs,0.0,kgs,50,,,,
2025-09-24,Periostites Mur,Legs,0.0,kgs,50,,,,
2025-09-24,Periostites Mur,Legs,0.0,kgs,50,,,,
2025-09-24,Extension Mollet Step,Legs,4.0,kgs,10,,,,
2025-09-24,Extension Mollet Step,Legs,4.0,kgs,10,,,,
2025-09-24,Extension Mollet Step,Legs,4.0,kgs,10,,,,
2025-09-24,Fentes,Legs,8.0,kgs,10,,,,
2025-09-24,Fentes,Legs,8.0,kgs,10,,,,
2025-09-24,Fentes,Legs,8.0,kgs,10,,,,
2025-09-24,Plank,Abs,0.0,kgs,,,,0:00:30,
2025-09-24,Plank,Abs,0.0,kgs,,,,0:00:30,
2025-09-24,Plank,Abs,0.0,kgs,,,,0:00:30,
2025-09-24,Plank,Abs,0.0,kgs,,,,0:00:30,
2025-09-24,Side Plank,Abs,0.0,kgs,,,,0:00:30,
2025-09-24,Side Plank,Abs,0.0,kgs,,,,0:00:30,
2025-09-24,Crunch,Abs,0.0,kgs,15,,,,
2025-09-24,Crunch,Abs,0.0,kgs,15,,,,
2025-09-24,Crunch,Abs,0.0,kgs,15,,,,
2025-09-24,Leg Raise,Abs,0.0,kgs,15,,,,
2025-09-24,Leg Raise,Abs,0.0,kgs,15,,,,
2025-09-24,Leg Raise,Abs,0.0,kgs,15,,,,
2025-10-01,Periostites Mur,Legs,0.0,kgs,50,,,,
2025-10-01,Periostites Mur,Legs,0.0,kgs,50,,,,
2025-10-01,Periostites Mur,Legs,0.0,kgs,50,,,,
2025-10-01,Periostites Kettlebell,Legs,4.0,kgs,15,,,,
2025-10-01,Periostites Kettlebell,Legs,4.0,kgs,15,,,,
2025-10-01,Periostites Kettlebell,Legs,4.0,kgs,15,,,,
2025-10-01,Stretching Legs,Legs,,,,0.0,m,0:30:00,
2025-10-10,Deadlift,Back,50.0,kgs,1,,,,
2025-10-10,Barbell Squat,Legs,40.0,kgs,2,,,,
2025-10-10,Flat Barbell Bench Press,Chest,25.0,kgs,1,,,,
2025-10-10,Assisted Pull Up,Back,14.0,kgs,2,,,,
2025-10-10,Deadhang,Back,,,,0.0,m,0:02:24,
2025-10-13,Lat Pulldown,Back,25.0,kgs,10,,,,
2025-10-13,Lat Pulldown,Back,25.0,kgs,12,,,,
2025-10-13,Lat Pulldown,Back,25.0,kgs,12,,,,
2025-10-13,Biceps Curl,Biceps,6.0,kgs,12,,,,
2025-10-13,Biceps Curl,Biceps,6.0,kgs,12,,,,
2025-10-13,Biceps Curl,Biceps,6.0,kgs,12,,,,
2025-10-13,Flat Dumbbell Bench Press,Chest,8.0,kgs,12,,,,
2025-10-13,Flat Dumbbell Bench Press,Chest,6.0,kgs,15,,,,
2025-10-13,Flat Dumbbell Bench Press,Chest,6.0,kgs,15,,,,
2025-10-13,Flat Dumbbell Bench Press,Chest,6.0,kgs,15,,,,
2025-10-13,Shoulder Press (Halteres),Shoulders,6.0,kgs,8,,,,
2025-10-13,Shoulder Press (Halteres),Shoulders,6.0,kgs,8,,,,
2025-10-13,Shoulder Press (Halteres),Shoulders,6.0,kgs,8,,,,
2025-10-13,Shoulder Press (Halteres),Shoulders,6.0,kgs,7,,,,
2025-10-13,Bulgarian Split Squat,Legs,3.0,kgs,10,,,,
2025-10-13,Bulgarian Split Squat,Legs,3.0,kgs,10,,,,
2025-10-14,Rowing Halteres,Back,7.0,kgs,15,,,,
